date,open,close,high,low,volume,money
2005-01-04,1324.13,1305.05,1324.13,1300.17,805983400.0,4387327558.0
2005-01-05,1303.86,1314.38,1321.59,1297.53,851885300.0,4866515285.0
2005-01-06,1314.98,1300.88,1315.22,1295.65,780106800.0,4339629719.0
2005-01-07,1300.77,1306.48,1318.67,1296.8,876614300.0,4977998732.0
2005-01-10,1305.25,1314.63,1314.99,1297.37,714155200.0,4085443949.0
2005-01-11,1314.98,1320.04,1323.59,1309.88,762280800.0,4334280602.0
2005-01-12,1319.73,1319.5,1319.76,1308.46,669820100.0,3776351795.0
2005-01-13,1318.25,1318.79,1322.21,1313.26,866912900.0,4979989167.0
2005-01-14,1318.32,1307.56,1332.08,1305.73,980323400.0,5240937752.0
2005-01-17,1296.84,1276.99,1297.85,1274.31,989894900.0,5397424547.0
2005-01-18,1276.03,1286.26,1286.88,1266.85,1011292100.0,5271427888.0
2005-01-19,1285.9,1278.56,1285.9,1274.89,922295700.0,4638934272.0
2005-01-20,1273.55,1264.05,1274.19,1258.52,1019467100.0,5348943784.0
2005-01-21,1261.45,1295.84,1299.52,1248.1,1679236000.0,8949221072.0
2005-01-24,1320.63,1318.13,1328.92,1301.3,1779336500.0,9709109578.0
2005-01-25,1314.51,1316.61,1317.28,1300.65,1168512000.0,6392438565.0
2005-01-26,1314.73,1303.77,1316.68,1301.85,953391000.0,5315094370.0
2005-01-27,1301.22,1286.84,1302.93,1284.72,932874100.0,4929149998.0
2005-01-28,1284.55,1273.98,1287.3,1268.89,809160500.0,4173921690.0
2005-01-31,1270.92,1251.14,1270.92,1249.41,893364600.0,4628876015.0
2005-02-01,1248.7,1248.43,1263.08,1246.65,916928000.0,4858170514.0
2005-02-02,1249.04,1315.22,1315.91,1249.04,1875830100.0,10304037988.0
2005-02-03,1316.58,1304.41,1332.77,1297.96,2007765800.0,10743353525.0
2005-02-04,1300.48,1332.44,1337.93,1297.37,1676667300.0,9570426806.0
2005-02-16,1339.8,1342.98,1356.22,1333.8,1417514800.0,7869685575.0
2005-02-17,1344.18,1340.03,1344.18,1326.94,1107656100.0,6048647306.0
2005-02-18,1339.54,1321.87,1342.66,1321.43,1058830300.0,5746986392.0
2005-02-21,1322.45,1348.79,1349.27,1322.45,1235989900.0,6864114865.0
2005-02-22,1349.99,1374.55,1377.99,1346.95,2209229000.0,12564550635.0
2005-02-23,1374.9,1374.75,1382.27,1363.82,2381967500.0,13555293444.0
2005-02-24,1372.12,1375.26,1376.34,1361.58,1990762900.0,11273027458.0
2005-02-25,1376.75,1377.6,1394.58,1376.57,2353320300.0,13778612492.0
2005-02-28,1376.55,1370.97,1380.45,1363.49,1727790800.0,10094781221.0
2005-03-01,1370.18,1368.17,1373.89,1360.08,1374150100.0,7884864942.0
2005-03-02,1368.08,1351.3,1382.12,1349.67,1834735400.0,10649238647.0
2005-03-03,1348.91,1358.36,1359.34,1340.12,1252993200.0,6867355917.0
2005-03-04,1358.16,1351.45,1363.91,1350.14,1082260800.0,6181011265.0
2005-03-07,1352.15,1357.86,1361.16,1351.52,1056123800.0,6201467218.0
2005-03-08,1362.65,1383.68,1384.34,1361.21,1765255500.0,11035114050.0
2005-03-09,1386.75,1381.92,1391.83,1375.05,2021883700.0,12092639851.0
2005-03-10,1381.99,1349.81,1381.99,1345.89,1755909500.0,10416447375.0
2005-03-11,1347.98,1353.69,1356.47,1341.26,1476929100.0,8960060047.0
2005-03-14,1352.68,1357.48,1368.66,1334.35,1835381500.0,11825407636.0
2005-03-15,1357.1,1331.82,1357.23,1329.14,1539164600.0,9578786745.0
2005-03-16,1329.59,1317.5,1330.83,1309.4,1345029600.0,8244693126.0
2005-03-17,1317.92,1304.68,1319.75,1303.67,1257429600.0,7661626487.0
2005-03-18,1303.61,1287.86,1309.54,1283.84,1218634100.0,7227191837.0
2005-03-21,1286.53,1291.73,1293.63,1281.02,969139900.0,5703381680.0
2005-03-22,1291.34,1266.42,1292.44,1261.62,1427020600.0,7992437105.0
2005-03-23,1265.19,1260.75,1277.95,1253.03,1316980700.0,7734165021.0
2005-03-24,1259.24,1267.59,1268.03,1246.01,1125193400.0,6597254375.0
2005-03-25,1266.58,1265.03,1270.83,1258.85,939430600.0,5021151947.0
2005-03-28,1264.2,1259.22,1264.2,1243.83,885998700.0,4854028191.0
2005-03-29,1258.79,1253.75,1268.75,1253.3,902051700.0,5108249758.0
2005-03-30,1251.05,1230.13,1251.05,1229.34,1115651200.0,6069730151.0
2005-03-31,1226.16,1239.27,1239.58,1218.98,1016624300.0,5256197884.0
2005-04-01,1238.37,1283.71,1298.85,1231.13,1920627700.0,10626433807.0
2005-04-04,1271.64,1261.93,1278.17,1255.7,1348974900.0,7819768779.0
2005-04-05,1259.53,1250.09,1268.7,1247.46,1132375300.0,6353941922.0
2005-04-06,1249.52,1274.3,1280.19,1241.76,1630758000.0,9763102389.0
2005-04-07,1276.26,1285.28,1309.09,1272.97,2366412100.0,13894149771.0
2005-04-08,1284.8,1309.54,1310.26,1278.19,1743051300.0,9968099820.0
2005-04-11,1309.14,1301.65,1314.03,1295.7,1892740900.0,10880625029.0
2005-04-12,1299.73,1279.24,1299.73,1278.18,1280600600.0,7492720548.0
2005-04-13,1289.15,1309.35,1315.76,1289.15,1917372800.0,10932611718.0
2005-04-14,1313.6,1294.79,1315.03,1293.64,1540052400.0,8532879968.0
2005-04-15,1289.86,1276.47,1289.86,1272.51,1398582300.0,7687471515.0
2005-04-18,1271.67,1256.31,1271.67,1249.2,1146816000.0,6224564673.0
2005-04-19,1254.79,1258.62,1261.33,1249.49,1080221500.0,6054882047.0
2005-04-20,1257.61,1242.03,1257.61,1236.14,1100413400.0,5866227324.0
2005-04-21,1239.95,1229.82,1248.75,1225.01,1305708000.0,6998634347.0
2005-04-22,1228.23,1226.33,1235.46,1220.21,1331509000.0,7179334840.0
2005-04-25,1223.32,1214.65,1223.32,1202.42,1333863600.0,6842016935.0
2005-04-26,1212.18,1222.36,1226.36,1207.94,1373543400.0,7128675497.0
2005-04-27,1222.12,1205.09,1223.27,1204.42,1324600700.0,6979078328.0
2005-04-28,1201.92,1226.54,1230.35,1191.42,1701398200.0,8915545186.0
2005-04-29,1225.73,1216.2,1227.78,1212.92,1370307000.0,7203967582.0
2005-05-09,1217.79,1186.9,1222.81,1186.45,1060446400.0,5448351504.0
2005-05-10,1182.65,1191.9,1192.15,1163.48,1292359200.0,6688768164.0
2005-05-11,1190.86,1180.1,1196.77,1177.53,1082011200.0,5566835336.0
2005-05-12,1177.89,1158.72,1178.7,1154.38,1221609400.0,6464108712.0
2005-05-13,1156.2,1162.54,1175.77,1147.42,1331123200.0,6507347258.0
2005-05-16,1160.18,1149.91,1160.18,1135.72,1009879500.0,5012551236.0
2005-05-17,1145.44,1154.13,1163.1,1137.69,1136143500.0,5285844304.0
2005-05-18,1154.24,1157.67,1163.88,1144.33,1018226000.0,4990899845.0
2005-05-19,1156.39,1158.17,1162.17,1136.67,1055493000.0,5082208595.0
2005-05-20,1155.0,1153.78,1163.63,1148.87,950363100.0,4493928347.0
2005-05-23,1149.59,1124.04,1149.59,1122.55,939395200.0,4265380735.0
2005-05-24,1118.9,1127.0,1131.53,1109.83,1085795800.0,5010082547.0
2005-05-25,1125.6,1125.27,1135.85,1117.6,967632200.0,4448985495.0
2005-05-26,1124.3,1111.28,1130.87,1108.07,940347800.0,4429963749.0
2005-05-27,1108.57,1104.03,1121.13,1101.97,1001692900.0,4861903037.0
2005-05-30,1101.66,1112.75,1116.77,1094.9,848630800.0,4045672575.0
2005-05-31,1114.29,1113.29,1123.7,1110.17,910009500.0,4198595407.0
2005-06-01,1112.1,1090.64,1116.27,1086.94,996874400.0,4665607399.0
2005-06-02,1088.02,1066.54,1088.02,1058.91,1120463100.0,5479724533.0
2005-06-03,1064.23,1063.96,1070.6,1050.14,975774200.0,4437441629.0
2005-06-06,1060.53,1085.77,1086.25,1047.65,1084794300.0,4961040517.0
2005-06-07,1088.11,1082.06,1108.04,1080.56,1542758000.0,7380998664.0
2005-06-08,1096.27,1171.02,1174.31,1091.84,3957451600.0,18798738826.0
2005-06-09,1174.41,1187.39,1203.57,1158.45,4023431100.0,19467442776.0
2005-06-10,1186.87,1163.43,1186.87,1156.66,2813097800.0,13537938018.0
2005-06-13,1161.02,1161.41,1167.55,1139.89,1900223200.0,8884207419.0
2005-06-14,1163.58,1147.98,1175.52,1146.86,1818607400.0,8699181921.0
2005-06-15,1144.79,1126.34,1144.79,1123.41,1506066200.0,7300047620.0
2005-06-16,1125.23,1140.33,1140.69,1117.11,1431726100.0,6969893224.0
2005-06-17,1144.67,1140.18,1149.46,1133.2,1655520600.0,8347964030.0
2005-06-20,1142.56,1171.68,1171.94,1127.34,2127694700.0,10084201075.0
2005-06-21,1171.72,1156.71,1171.72,1154.01,1531732900.0,7286977350.0
2005-06-22,1154.02,1157.35,1158.62,1145.48,1226224300.0,5871157577.0
2005-06-23,1155.79,1148.6,1162.37,1147.32,1137284800.0,5439406166.0
2005-06-24,1146.79,1157.19,1157.56,1142.23,1100689500.0,5051177930.0
2005-06-27,1164.18,1181.08,1186.65,1164.18,2158229900.0,10441155564.0
2005-06-28,1177.13,1164.28,1177.13,1160.86,1333938600.0,6273133832.0
2005-06-29,1167.54,1160.49,1169.5,1159.34,1337250500.0,6510736372.0
2005-06-30,1158.89,1135.12,1158.89,1132.15,1367429000.0,6373622067.0
2005-07-01,1131.25,1108.46,1131.25,1106.39,1345003400.0,6099002874.0
2005-07-04,1102.76,1099.83,1102.76,1081.8,1209432000.0,5044439901.0
2005-07-05,1096.21,1091.08,1100.41,1084.21,1036824100.0,5108158186.0
2005-07-06,1092.9,1085.35,1097.22,1079.76,909580800.0,4230289476.0
2005-07-07,1085.0,1090.67,1096.45,1082.11,843503300.0,3637777018.0
2005-07-08,1088.37,1069.13,1088.37,1066.4,1018203300.0,4298425184.0
2005-07-11,1078.41,1062.45,1095.7,1059.85,1118044900.0,4743091747.0
2005-07-12,1058.63,1098.99,1101.92,1054.56,1825635100.0,8133692911.0
2005-07-13,1097.31,1089.82,1098.84,1085.97,1270523000.0,5594768671.0
2005-07-14,1087.85,1093.26,1103.02,1085.36,1239695500.0,5482989304.0
2005-07-15,1092.42,1078.84,1099.59,1074.47,1232816000.0,5137768940.0
2005-07-18,1076.06,1064.78,1076.14,1060.89,1059367900.0,4175015524.0
2005-07-19,1063.57,1066.92,1073.54,1056.67,952522300.0,3898842506.0
2005-07-20,1066.53,1073.97,1078.13,1060.89,1036141800.0,4388077901.0
2005-07-21,1073.55,1073.86,1074.96,1062.74,1082066800.0,4758505640.0
2005-07-22,1079.64,1100.42,1109.16,1077.26,2490269000.0,10844522131.0
2005-07-25,1099.28,1099.45,1103.21,1094.38,1384998600.0,6070157390.0
2005-07-26,1100.63,1128.12,1133.68,1100.63,2515009600.0,10886036735.0
2005-07-27,1127.82,1145.84,1146.13,1123.53,2329456200.0,10031964266.0
2005-07-28,1146.0,1142.45,1153.96,1139.06,2413606300.0,10521876171.0
2005-07-29,1140.78,1138.69,1144.38,1132.51,1735116800.0,7136062736.0
2005-08-01,1138.4,1144.83,1150.31,1136.59,1447247100.0,6092683287.0
2005-08-02,1145.44,1160.46,1160.46,1140.44,1855360900.0,7583081310.0
2005-08-03,1162.85,1164.06,1177.68,1160.27,3072225000.0,12599460252.0
2005-08-04,1161.11,1158.81,1164.56,1155.02,1903045600.0,7749313094.0
2005-08-05,1158.84,1186.07,1186.41,1158.81,2655388200.0,12269210256.0
2005-08-08,1189.22,1196.72,1204.89,1189.22,2963998400.0,13648104634.0
2005-08-09,1196.97,1211.02,1211.45,1187.99,2661800700.0,11908446771.0
2005-08-10,1211.87,1224.58,1224.67,1203.55,3074044700.0,13356421318.0
2005-08-11,1224.93,1244.0,1244.79,1223.57,3634691100.0,16737823808.0
2005-08-12,1245.78,1227.12,1252.43,1220.75,3937470400.0,17791703184.0
2005-08-15,1226.19,1247.12,1247.98,1222.87,2979905800.0,14671610930.0
2005-08-16,1248.2,1236.88,1253.34,1229.32,3242625800.0,15726117522.0
2005-08-17,1234.65,1253.37,1254.15,1219.08,3168494600.0,14607894542.0
2005-08-18,1255.07,1206.29,1262.65,1204.72,4838655300.0,21972320515.0
2005-08-19,1202.52,1208.56,1216.13,1190.37,3097265900.0,13527691888.0
2005-08-22,1207.26,1217.56,1221.15,1200.73,2377072300.0,10476920050.0
