date,open,close,high,low,volume,money
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-02-02,3510.81,3533.68,3535.5,3495.57,26454063000.0,384127851092.3
2021-02-03,3531.15,3517.31,3544.01,3508.51,29735171600.0,413731471970.7
2021-02-04,3503.78,3501.86,3524.72,3465.77,29883485400.0,418742552801.5
2021-02-05,3509.49,3496.33,3536.54,3492.96,29014617400.0,397391919558.5
2021-02-08,3504.56,3532.45,3542.21,3492.13,24979961900.0,359187319179.3
2021-02-09,3539.77,3603.49,3604.01,3528.68,25382176000.0,371567972460.7
2021-02-10,3612.61,3655.09,3662.77,3612.5,25794082400.0,392643389630.2
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-02-02,3510.81,3533.68,3535.5,3495.57,26454063000.0,384127851092.3
2021-02-03,3531.15,3517.31,3544.01,3508.51,29735171600.0,413731471970.7
2021-02-04,3503.78,3501.86,3524.72,3465.77,29883485400.0,418742552801.5
2021-02-05,3509.49,3496.33,3536.54,3492.96,29014617400.0,397391919558.5
2021-02-08,3504.56,3532.45,3542.21,3492.13,24979961900.0,359187319179.3
2021-02-09,3539.77,3603.49,3604.01,3528.68,25382176000.0,371567972460.7
2021-02-10,3612.61,3655.09,3662.77,3612.5,25794082400.0,392643389630.2
